"Car_name","Car_Performance_name"
"BMW 1 Series 3-door","Acceleration 0-100 km/h in s (BMW M140i)"
"BMW 1 Series 3-door","4.8 [4.6]"
"BMW 1 Series 3-door","Maximum speed in km/h (BMW M140i)"
"BMW 1 Series 3-door","250"
"BMW 1 Series 3-door","Consumption in l/100 km, combined (BMW M140i)"
"BMW 1 Series 3-door","7.8 [7.1]"
"BMW 1 Series 3-door","CO2 emission in g/km, combined (BMW M140i)"
"BMW 1 Series 3-door","179–163"
"BMW M140i 3-door","Fuel consumption combined in l/100 km (116d EffDyn Edition)"
"BMW M140i 3-door","3.8–3.4"
"BMW M140i 3-door","CO2 emissions in g/km (116d EffDyn Edition)"
"BMW M140i 3-door","101–89"
"BMW M140i 3-door","Max. torque in Nm at 1/min (116d EffDyn Edition)"
"BMW M140i 3-door","270/1,750–2,250"
"BMW 1 Series 5-door","Acceleration 0-100 km/h in s (BMW M140i)"
"BMW 1 Series 5-door","4.8 [4.6]"
"BMW 1 Series 5-door","Maximum speed in km/h (BMW M140i)"
"BMW 1 Series 5-door","250"
"BMW 1 Series 5-door","Consumption in l/100 km, combined (BMW M140i)"
"BMW 1 Series 5-door","7.8 [7.1]"
"BMW 1 Series 5-door","CO2 emission in g/km, combined (BMW M140i)"
"BMW 1 Series 5-door","179–163"
"BMW M140i 5-door","Fuel consumption combined in l/100 km (116d EffDyn Edition)"
"BMW M140i 5-door","3.8–3.4"
"BMW M140i 5-door","CO2 emissions in g/km (116d EffDyn Edition)"
"BMW M140i 5-door","101–89"
"BMW M140i 5-door","Number of doors"
"BMW M140i 5-door","5"
"BMW 2 Series Coupé","Acceleration 0-100 km/h in s (BMW M240i Coupé)"
"BMW 2 Series Coupé","4.8 [4.6]"
"BMW 2 Series Coupé","Maximum speed in km/h (BMW M240i Coupé)"
"BMW 2 Series Coupé","250"
"BMW 2 Series Coupé","Consumption in l/100 km, combined (BMW M240i Coupé)"
"BMW 2 Series Coupé","7.8 [7.1]"
"BMW 2 Series Coupé","CO2 emission in g/km, combined (BMW M240i Coupé)"
"BMW 2 Series Coupé","179–163"
"BMW M240i Coupé","Power in kW (h.p.) at 1/min (M240i)"
"BMW M240i Coupé","250 (340)/5,500"
"BMW M240i Coupé","Combined consumption in l/100 km (M240i)"
"BMW M240i Coupé","7.8 [7.1]"
"BMW M240i Coupé","Acceleration 0-100 km/h in s (M240i)"
"BMW M240i Coupé","4.8 [4.6]"
"BMW 2 Series Convertible","Acceleration 0-100 km/h in s (BMW 230i Convertible)"
"BMW 2 Series Convertible","6.1"
"BMW 2 Series Convertible","Maximum speed in km/h (BMW 230i Convertible)"
"BMW 2 Series Convertible","250"
"BMW 2 Series Convertible","Consumption in l/100 km, combined (BMW 230i Convertible)"
"BMW 2 Series Convertible","6.2–6.0"
